cement,water,aggregates,strength
335.25546233908597,153.61250840498343,550.7150801507673,201.64820129541536
243.97634913456326,192.20072264279548,345.9428156108754,106.89616694418592
151.62352489457538,135.49329707048886,670.7932442022009,115.2787903433105
396.2174328582572,131.282038340893,247.47787748742553,199.6175356826578
395.1196197532685,175.57222810727617,425.1908839466695,201.4034672436249
158.20569692606404,160.7694351957398,342.7272932678311,79.53607477911001
106.2102874670356,81.90912713739633,617.7267774196096,120.76723425304468
174.11352440094979,197.15906206411773,229.81501476649316,72.5291389629708
159.63155696779194,199.5969410069077,672.4927316001222,97.60372008699488
170.31515142867107,62.01679533235536,420.436673396697,116.95804301539931
485.6321563631797,74.1807218322893,751.4013936933854,322.0877152545081
165.70560015902194,115.14791419641648,382.49191444354665,95.59511493391526
455.3104641981109,131.893461154504,663.7519987461143,275.00958060195467
368.3854862162639,111.53904102330357,316.5771332868292,190.59603703042356
420.8405638628429,185.19385818279537,746.0515275060711,244.6624666600953
458.4545041416118,189.78386111964812,511.5626853102579,239.57506291021872
208.8065983661848,58.08064597684226,425.324593051636,156.0288779869551
444.81051577199787,152.1315807973417,581.4565687329448,251.30684552661992
370.90225907504276,143.8923749130331,700.7310266985673,212.35386265456248
244.23246830004305,110.38138655340126,537.0939015551536,160.04213957286137
380.95784304073106,129.12514847217926,545.5482816042067,201.9212128605421
386.50577736250267,71.70289991629504,711.0444062766187,263.5969679573066
475.42236484408187,101.35809258632318,422.323356515066,248.73522751038726
487.3256115618782,124.6276576855689,658.2783597074324,284.5792051943997
172.73131039534576,75.64112500661206,392.14166227511805,115.23015708798579
317.5368337236012,193.1820450649547,381.19801006248156,159.98441541038414
399.20010036714785,144.38613965920325,681.17292013825,240.3297279617892
129.6662251900126,120.58727007655288,662.058763861941,130.45957424454744
206.5332655430732,166.5537227474307,532.6663020202018,131.05281177629146
190.47000567709273,90.83565441834743,593.6961918182888,142.35452251693442
294.0512560809075,135.71148404063004,472.9476813534575,185.483321655338
468.21245617694416,199.14389335965348,661.8467163471713,258.0283607134237
274.02143294123783,136.5146378592628,573.0993080448039,166.16432447869312
486.865669900176,183.62906294411565,410.419145442096,245.19691175371085
296.77534147909665,197.11593896388678,769.1569941261199,175.77841025313228
353.70889267839055,163.6018654741381,751.0656771043928,205.29778088385052
383.9000669088926,123.83698967157325,200.57789461452066,191.64853283639957
440.2855852505083,136.47618537037067,482.96520893595533,237.3817160888152
464.1180927464468,196.47204340926524,644.6526624333048,263.59579122441585
104.69330726516297,111.35058626192256,459.22358119732525,80.37953043217827
179.50511141094867,104.6907704233032,658.683626546195,134.43273529486783
353.98127592526936,178.89073310023645,211.6001192107817,155.08638780552644
233.17899599388002,191.9237616851381,296.4704024185431,126.99338141219265
488.1761948777023,51.1656069155602,789.8358688127988,307.6941363023551
224.39314611842872,179.0362609579903,253.85177260793404,98.8683831743145
225.18641565196674,169.770405558444,351.201632486573,107.49474559398124
198.36334578462439,114.27971395565176,704.3025633423684,143.41523796960954
320.2524631200928,120.69571407176853,230.4562630265838,163.8307994864431
216.88961779260558,126.35684918393399,723.8279898933404,153.76905988543038
204.00545596227806,195.95888644823683,338.1029225716199,79.7944407141074
292.49703922565925,76.66411909575363,424.296024796448,179.8388501139968
466.1907503768385,99.85737341948808,607.5079452715635,270.29375806052025
397.79346599315437,154.3333962733529,311.45436938152613,196.21370033207228
483.7592463031017,121.45977425673861,428.51936791298544,275.94646865330515
486.43177236445194,114.2838549038714,364.9896035905506,244.71711221069734
207.34388406880666,118.2097879869879,333.731703080408,121.75122514846487
472.39840515835965,96.23381732254393,261.7360805892506,245.77056215181338
271.66043240341173,113.61435085285493,667.0909105243716,195.56976962719506
467.31801403225774,120.39614614941436,458.9486919165605,269.6785129254663
179.02848146039653,178.2256551744516,329.0729592544778,95.94605783051948
156.20765263091508,192.404891452748,531.3914950005835,103.90701771941104
166.19258104939905,183.17163793630291,519.165293203884,110.11164271016519
466.7790827775787,51.24527915334235,461.25026795295304,260.54561850572895
150.61807162481404,151.69989388995083,399.9789030567224,83.99542862968349
326.0979054742596,97.55881930436543,426.14554530959697,188.10732418092147
407.8619766778042,160.19980940946817,301.78341958189964,210.417678168003
276.86591107930786,115.81623193732435,449.50297581635704,162.27249917102634
385.919085345833,93.2860223121064,200.2646803794128,195.75358492442845
173.6014846556798,174.60677716457744,399.664502031467,108.01299174936597
419.41901162738213,53.15048336227044,292.8333760310469,227.40503167837855
111.1656213007532,106.59389827144203,723.1206703459095,118.71941295449626
463.44797264851826,169.14733975327746,653.689778416023,241.3858120920111
185.4296332031044,198.1377286676538,219.53850349779682,82.95888445228543
467.2471083136613,190.44835817100082,548.6909845619773,263.7666163118511
398.7782127780986,149.26340234152315,444.156223337719,217.48472173894436
