project_id,project_type,region,project_phase,project_value_million,project_duration_planned_days,planned_labor_count,actual_labor_count,labor_utilization_pct,contractor_count,material_delivery_delay_days,supplier_performance_score,procurement_change_requests,critical_material_shortage_flag,planned_cost_million,actual_cost_million,cost_variance_pct,cash_flow_delay_days,task_completion_pct,schedule_variance_days,rework_hours,change_orders_count,safety_incidents,lost_time_injuries,regulatory_non_compliance_count,weather_disruption_days,extreme_weather_flag,penalty_cost_million,client_escalations,legacy_project_code,reporting_batch_id,regional_cluster_id,administrative_reference,project_delay_flag
100000,Industrial,Central,Planning,291.20173266352435,252,71,81,64.95786259640639,6,5,96.55855861028711,2,0,291.20173266352435,252.55463722236144,-13.271588423485987,3.0,4.755827161115667,6.23406360918836,45.531094107197404,4,1,1,1,4,0,35.24892414534621,1,584875,1235,3,191115,0
100001,Hospital,South,Finishing,218.71543302753435,770,970,794,72.61435789103058,4,8,62.02795114918005,0,0,218.71543302753435,272.5612631986397,24.619126975062017,4.0,20.859811826994047,-16.312084049915534,85.69385838150484,1,2,1,0,3,0,19.21376834797237,1,667505,7484,23,407327,0
100002,Commercial,East,Structural,208.94466960445715,1059,463,526,58.31618316818409,7,5,37.390773184550596,0,0,208.94466960445715,198.08681306628387,-5.1965223897445,,12.613885088754273,-8.75012312575483,125.53812471243123,3,1,0,0,4,0,21.789523660177302,2,307923,7822,32,341725,0
100003,Commercial,East,Finishing,208.94631710343617,248,565,460,85.99262113644548,1,6,36.98262137218745,0,0,208.94631710343617,212.2476901046821,1.5800101418450225,8.0,52.4228304163719,5.03622392464852,84.85189638127989,4,1,0,0,0,0,22.709923547682926,1,679996,5902,19,519585,0
100004,Airport,East,Foundation,448.8492054196486,324,729,580,73.68629744399705,12,6,43.307183440351835,1,1,448.8492054196486,455.1826612089471,1.411043110431061,4.0,84.2917719033474,5.920948434812584,42.254654365283514,0,1,1,0,2,0,31.53123928843919,2,535194,7293,46,330976,1
100005,Industrial,East,Structural,326.4291527219679,141,495,594,61.22688236025151,22,4,40.41029140625346,0,0,326.4291527219679,343.0286468525293,5.085175142031444,3.0,14.887174905098966,15.04299403136527,103.40425808184564,2,0,0,0,1,0,15.153120426702898,2,227815,5981,32,892741,0
100006,Infrastructure,Central,Structural,186.20903760344936,772,819,797,40.29432302567192,14,3,33.36639910887459,2,0,186.20903760344936,203.33575235666902,9.197574389322972,3.0,55.95964650598682,13.08925857417237,32.7130530968731,2,0,1,0,2,0,45.440015649571166,0,324670,1683,28,335641,0
100007,Commercial,East,Commissioning,296.97961944455784,110,467,451,53.108797146933476,4,6,41.28432954911855,0,0,296.97961944455784,307.9538802874706,3.6952908968763545,6.0,2.0424409033830804,-17.30990961281971,44.707336107976545,4,0,0,0,4,0,4.949314515127412,0,195836,6051,24,141342,0
100008,Commercial,West,Planning,260.4561515819903,756,233,197,57.782215502814054,24,3,78.80574573502108,0,0,260.4561515819903,274.1358433272513,5.252205279918176,6.0,68.68838707497622,44.4045963388955,74.13727534454367,1,0,0,0,4,0,16.148124735979728,2,349954,7247,41,695205,0
100009,Infrastructure,North,Structural,81.68216440516954,519,962,990,41.06460571707406,16,6,48.32944044329786,5,0,81.68216440516954,92.57199411319573,13.33195537523854,9.0,13.189620726216255,-2.34349776688608,126.59512256921035,2,2,1,0,3,0,39.3464559118916,0,502310,5056,17,361242,0
