cement,water,aggregate,age,strength
249.816047538945,203.816357027244,1069.08119768356,28,9.00616219028162
480.285722563967,195.836375525946,1118.67255887655,25,42.8345090133383
392.797576724562,105.128413161287,900.187159517,58,33.9382276111914
339.463393678815,168.249565525231,1049.9496398428,297,32.749872637931
162.407456176975,176.039123757171,1028.6983932575,134,10.6807446993284
162.397808134481,179.76455617938,1133.13215071531,331,7.65001736482319
123.23344486728,216.034473845466,1162.4348241925,249,-2.8838411709435
446.470458309974,206.720509345376,804.862708590955,38,40.0464357673688
340.446004697284,221.581018558689,1069.60796762352,75,17.2732986138474
383.229031118418,252.976652308426,820.734319647892,142,29.8886003022413
108.233797718321,262.597147743219,1019.54346603094,322,5.50851617095541
487.963940864798,243.624615245299,915.053091617471,168,37.660574304065
432.977056320169,291.104739190987,922.710639808857,259,29.8117309940285
184.93564427131,103.646516535272,941.183401380943,355,11.9426080770623
172.72998688284,139.155597136709,1048.51697961984,225,14.8789324149701
173.361803941374,101.512574995628,933.619986267508,152,-1.44909251105213
221.696897183815,229.494942830921,1093.07962023611,19,14.4635742721195
309.902572652895,279.606109789997,961.810954229548,146,19.0673334806682
272.778007456846,148.69645931526,827.341280123983,241,21.1388992813232
216.491656079217,285.406908959261,1113.50393699364,344,12.0303315332778
344.741157888952,112.053478057912,914.303329837082,237,24.3736599263389
155.797544260817,286.887205361103,973.106751839705,35,-10.4795692823529
216.857859414087,170.324537447927,1074.17755328876,190,17.4124344187822
246.544737317477,120.284165689843,932.982462859485,1,25.232996308179
282.427993686814,197.174351837265,822.634262458686,153,11.2170719171345
414.070384557205,151.355313544102,949.568418805126,126,29.8368723935334
179.869512863344,156.974580392385,1177.77943307772,345,17.3498467318524
305.693775365445,161.457992985257,1056.69375891942,226,26.5509266870159
336.965827544817,260.605179566533,1068.59165946688,221,37.6918660576886
118.580165087999,207.832255335051,1052.91286145506,211,8.95469108617686
343.017940760575,162.261539831201,879.596855583775,25,30.6158394439628
168.209649474917,222.066756662184,967.333545640912,16,2.05868361440806
126.020637194112,243.230134844639,1100.37591934533,182,4.88458595913266
479.554214901333,154.524800146707,840.549159021264,329,50.9962497951749
486.252813229824,182.70982030507,911.141110435885,129,39.9578364823643
423.358939246584,124.37721866739,910.527643386341,42,35.9509601226033
221.845507669348,136.229869906936,972.807571037802,336,19.4398249046227
139.068845602554,236.223570792997,1192.14749637687,236,1.13321261324435
373.693210604863,136.287669539125,827.001018673529,360,35.4997551541466
276.060997495841,205.032676733412,1007.48039775224,34,18.9143266042919
148.815293937912,241.809252344487,871.745872804884,345,13.6409988424701
298.070764044508,121.375384618949,1188.2706181639,45,23.2413449609499
113.755408446087,213.462443925781,845.321401890986,134,5.41606137863723
463.728160831513,151.312556740273,961.440400944637,21,38.2193618361774
203.511992640007,292.585375047516,1095.15399393384,122,10.1407277205361
365.008913741593,196.709129343985,1081.82177121098,70,26.1151426280005
224.684430435764,261.198509955032,969.091454757573,352,15.7958824805509
308.027208471124,210.045308431252,938.609667181087,361,27.5516345709921
318.684111737312,108.682506570964,959.044951421148,48,21.581005179894
173.941782210211,226.630275118804,905.710505263456,39,11.9645415684339
487.833851105823,290.280668441331,882.13317548272,287,36.3069647537757
410.053129344446,220.322364029266,993.215879023556,10,27.7402112598505
475.799576625676,263.837771885358,907.413502427043,30,31.1380285099496
457.93094017106,276.841292669682,914.9846659589,244,35.8820307741131
339.159991524434,145.615954389787,1062.70242538982,274,29.3520929884365
468.749694009247,142.408967981645,1187.41493267996,88,42.4885569295508
135.397000820768,222.196197770198,1041.45488022375,244,6.82099411515926
178.393144967658,182.205693961341,830.791786825987,329,15.0619530254497
118.090915564215,267.972260573344,830.233445541627,15,12.4418991085196
230.132132305306,280.004624679602,1180.56928833823,4,9.25144078320972
255.470915875793,170.684275860544,918.916316122934,191,15.2500108616892
208.539612709558,147.374111794896,836.82679443299,168,5.06618901951985
